ManagedPoolThread #16 09:43:35 WARN  IndexCustodian. FullRebuild triggered on index sitecore_suggested_test_index.
ManagedPoolThread #4 09:43:35 WARN  [Index=sitecore_suggested_test_index] Reset Started
ManagedPoolThread #4 09:43:35 WARN  [Index=sitecore_suggested_test_index] Reset Ended
ManagedPoolThread #4 09:43:35 WARN  [Index=sitecore_suggested_test_index] Full Rebuild Started
ManagedPoolThread #4 09:43:36 WARN  [Index=sitecore_suggested_test_index] Full Rebuild Ended
1796 10:03:29 WARN  Hosting Environment Stop Requested : immediate=False
1796 10:03:29 WARN  [Index=sitecore_analytics_index] Crawling Stopped
1796 10:03:29 WARN  [Index=sitecore_core_index] Crawling Stopped
1796 10:03:29 WARN  [Index=sitecore_master_index] Crawling Stopped
1796 10:03:29 WARN  [Index=sitecore_web_index] Crawling Stopped
1796 10:03:29 WARN  [Index=sitecore_marketing_asset_index_master] Crawling Stopped
1796 10:03:29 WARN  [Index=sitecore_marketing_asset_index_web] Crawling Stopped
1796 10:03:29 WARN  [Index=sitecore_marketingdefinitions_master] Crawling Stopped
1796 10:03:29 WARN  [Index=sitecore_marketingdefinitions_web] Crawling Stopped
1796 10:03:29 WARN  [Index=sitecore_testing_index] Crawling Stopped
1796 10:03:29 WARN  [Index=sitecore_suggested_test_index] Crawling Stopped
1796 10:03:29 WARN  [Index=sitecore_fxm_master_index] Crawling Stopped
1796 10:03:29 WARN  [Index=sitecore_fxm_web_index] Crawling Stopped
1796 10:03:29 WARN  [Index=sitecore_list_index] Crawling Stopped
1796 10:03:29 WARN  [Index=social_messages_master] Crawling Stopped
1796 10:03:29 WARN  [Index=social_messages_web] Crawling Stopped
1796 10:03:29 WARN  [Index=sitecore_analytics_index] Crawling Stopped
1796 10:03:29 WARN  [Index=sitecore_core_index] Crawling Stopped
1796 10:03:29 WARN  [Index=sitecore_master_index] Crawling Stopped
1796 10:03:29 WARN  [Index=sitecore_web_index] Crawling Stopped
1796 10:03:29 WARN  [Index=sitecore_marketing_asset_index_master] Crawling Stopped
1796 10:03:29 WARN  [Index=sitecore_marketing_asset_index_web] Crawling Stopped
1796 10:03:29 WARN  [Index=sitecore_marketingdefinitions_master] Crawling Stopped
1796 10:03:29 WARN  [Index=sitecore_marketingdefinitions_web] Crawling Stopped
1796 10:03:29 WARN  [Index=sitecore_testing_index] Crawling Stopped
1796 10:03:29 WARN  [Index=sitecore_suggested_test_index] Crawling Stopped
1796 10:03:29 WARN  [Index=sitecore_fxm_master_index] Crawling Stopped
1796 10:03:29 WARN  [Index=sitecore_fxm_web_index] Crawling Stopped
1796 10:03:29 WARN  [Index=sitecore_list_index] Crawling Stopped
1796 10:03:29 WARN  [Index=social_messages_master] Crawling Stopped
1796 10:03:29 WARN  [Index=social_messages_web] Crawling Stopped
5108 10:03:36 WARN  [Index=sitecore_core_index] IntervalAsynchronousUpdateStrategy triggered but muted. Indexing is paused.
5108 10:03:36 WARN  [Index=sitecore_core_index] IntervalAsynchronousUpdateStrategy triggered but muted. Indexing is paused.
1796 10:03:59 WARN  Hosting Environment Stop Requested : immediate=True
